dtec,gdlat,glon,station,tec,ut1_unix
0.392626,32.0,35.0,BSHM,16.7138,1667365500.0
0.412013,32.0,35.0,BSHM,17.0937,1667365800.0
0.492371,32.0,35.0,BSHM,17.8491,1667366100.0
0.492431,32.0,35.0,BSHM,18.3161,1667366400.0
0.531593,32.0,35.0,BSHM,18.9827,1667366700.0
0.652218,32.0,35.0,BSHM,20.0641,1667367000.0
0.753455,32.0,35.0,BSHM,20.5177,1667367300.0
0.920857,32.0,35.0,BSHM,20.2728,1667367600.0
1.30309,32.0,35.0,BSHM,20.7216,1667367900.0
0.921098,32.0,35.0,BSHM,21.0216,1667368200.0
0.921428,32.0,35.0,BSHM,21.229,1667368500.0
0.920753,32.0,35.0,BSHM,21.4912,1667368800.0
0.651188,32.0,35.0,BSHM,22.1947,1667369100.0
0.651744,32.0,35.0,BSHM,22.7296,1667369400.0
0.586055,32.0,35.0,BSHM,23.1573,1667369700.0
0.533629,32.0,35.0,BSHM,23.8528,1667370000.0
0.492594,32.0,35.0,BSHM,24.2608,1667370300.0
0.460541,32.0,35.0,BSHM,24.6462,1667370600.0
0.460324,32.0,35.0,BSHM,25.3662,1667370900.0
0.492018,32.0,35.0,BSHM,25.5286,1667371200.0
0.433961,32.0,35.0,BSHM,25.7296,1667371500.0
0.433992,32.0,35.0,BSHM,25.8653,1667371800.0
0.434082,32.0,35.0,BSHM,26.3123,1667372100.0
0.531567,32.0,35.0,BSHM,26.4938,1667372400.0
0.492626,32.0,35.0,BSHM,27.1134,1667372700.0
0.651388,32.0,35.0,BSHM,27.7498,1667373000.0
0.75268,32.0,35.0,BSHM,29.0757,1667373300.0
0.752177,32.0,35.0,BSHM,29.8119,1667373600.0
0.651155,32.0,35.0,BSHM,30.5747,1667373900.0
0.582309,32.0,35.0,BSHM,31.237,1667374200.0
0.651119,32.0,35.0,BSHM,31.8944,1667374500.0
0.651269,32.0,35.0,BSHM,32.495,1667374800.0
0.651078,32.0,35.0,BSHM,32.466,1667375100.0
0.582618,32.0,35.0,BSHM,32.6399,1667375400.0
0.651271,32.0,35.0,BSHM,32.8619,1667375700.0
0.582734,32.0,35.0,BSHM,32.4802,1667376000.0
0.582402,32.0,35.0,BSHM,32.3474,1667376300.0
0.492231,32.0,35.0,BSHM,32.1851,1667376600.0
0.434376,32.0,35.0,BSHM,32.5437,1667376900.0
0.460598,32.0,35.0,BSHM,32.9821,1667377200.0
0.531614,32.0,35.0,BSHM,33.2181,1667377500.0
0.461665,32.0,35.0,BSHM,33.2056,1667377800.0
0.49251,32.0,35.0,BSHM,33.1663,1667378100.0
0.532035,32.0,35.0,BSHM,33.1576,1667378400.0
0.583007,32.0,35.0,BSHM,33.2125,1667378700.0
0.753097,32.0,35.0,BSHM,33.2125,1667379000.0
0.924195,32.0,35.0,BSHM,33.5963,1667379300.0
1.30697,32.0,35.0,BSHM,32.8671,1667380200.0
0.925462,32.0,35.0,BSHM,32.9829,1667380500.0
0.921317,32.0,35.0,BSHM,32.9382,1667380800.0
0.75219,32.0,35.0,BSHM,32.8007,1667381100.0
0.651449,32.0,35.0,BSHM,32.8644,1667381400.0
0.651335,32.0,35.0,BSHM,32.9581,1667381700.0
0.582619,32.0,35.0,BSHM,33.089,1667382000.0
0.582869,32.0,35.0,BSHM,33.3999,1667382300.0
0.584155,32.0,35.0,BSHM,33.5459,1667382600.0
0.752019,32.0,35.0,BSHM,34.1415,1667382900.0
1.303,32.0,35.0,BSHM,34.6094,1667383200.0
1.30288,32.0,35.0,BSHM,36.2964,1667385600.0
0.921574,32.0,35.0,BSHM,36.5706,1667385900.0
0.752813,32.0,35.0,BSHM,36.7953,1667386200.0
0.651706,32.0,35.0,BSHM,36.9452,1667386500.0
0.651431,32.0,35.0,BSHM,37.1116,1667386800.0
0.58259,32.0,35.0,BSHM,37.3146,1667387100.0
0.492621,32.0,35.0,BSHM,37.2918,1667387400.0
0.531819,32.0,35.0,BSHM,37.7081,1667387700.0
0.582528,32.0,35.0,BSHM,37.9596,1667388000.0
0.582574,32.0,35.0,BSHM,38.2809,1667388300.0
0.651505,32.0,35.0,BSHM,38.4489,1667388600.0
0.651464,32.0,35.0,BSHM,39.0214,1667388900.0
0.651928,32.0,35.0,BSHM,39.2652,1667389200.0
0.652318,32.0,35.0,BSHM,39.5414,1667389500.0
0.753056,32.0,35.0,BSHM,39.6177,1667389800.0
0.53207,32.0,35.0,BSHM,39.0761,1667390100.0
0.492516,32.0,35.0,BSHM,38.74,1667390400.0
0.493267,32.0,35.0,BSHM,38.3677,1667390700.0
0.493273,32.0,35.0,BSHM,38.099,1667391000.0
0.492274,32.0,35.0,BSHM,37.8212,1667391300.0
0.460672,32.0,35.0,BSHM,37.2743,1667391600.0
0.460424,32.0,35.0,BSHM,36.8391,1667391900.0
0.460501,32.0,35.0,BSHM,36.3894,1667392200.0
0.460404,32.0,35.0,BSHM,35.9996,1667392500.0
0.492094,32.0,35.0,BSHM,35.7862,1667392800.0
0.492353,32.0,35.0,BSHM,34.6862,1667393100.0
0.460573,32.0,35.0,BSHM,34.417,1667393400.0
0.393158,32.0,35.0,BSHM,33.8146,1667393700.0
0.39292,32.0,35.0,BSHM,33.1929,1667394000.0
0.348469,32.0,35.0,BSHM,32.7962,1667394300.0
0.362165,32.0,35.0,BSHM,32.9873,1667394600.0
0.376467,32.0,35.0,BSHM,33.0143,1667394900.0
0.434547,32.0,35.0,BSHM,32.6451,1667395200.0
0.492793,32.0,35.0,BSHM,32.9656,1667395500.0
0.532194,32.0,35.0,BSHM,33.2151,1667395800.0
0.492515,32.0,35.0,BSHM,32.7749,1667396100.0
0.532452,32.0,35.0,BSHM,31.7043,1667396400.0
0.460647,32.0,35.0,BSHM,30.9939,1667396700.0
0.434163,32.0,35.0,BSHM,30.4096,1667397000.0
0.392767,32.0,35.0,BSHM,29.6127,1667397300.0
0.37604,32.0,35.0,BSHM,29.083,1667397600.0
0.37602,32.0,35.0,BSHM,28.5843,1667397900.0
